"001","002","003","004","005"
"Écocentre, Garage municipal","46.936729","-71.105715"," 418-822-1555 ","G0E 2K0"
"Déchetterie municipale","46.6796664","-71.0851189"," 418-882-2401 ","G0R 3E0"
"Écocentre Val-Bélair","46.8776881","-71.4507797","  ","G3J 1R3"
"Écocentre Château-Richer","46.9743676","-71.0162351","  ","G0A 1N0"
"Écocentre Saint-Lambert-de-Lauzon","46.5872005","-71.2112063"," 418-889-8727 ","G0S 2W0"
"Écocentre de Stoneham","46.9975803","-71.4114636"," 418-848-3134 ","G3C 0S4"
"Garage municipal Shannon","46.8968219","-71.5283889","  ","G0A 4N0"
"Dépôt Saint-Anselme","46.6297444","-70.9697098","  ","G0R 2N0"
"Marceau Radio TV enr.","46.6259441","-70.9626501"," 418-885-9858 ","G0R 2N0"
"IGA Extra Chouinard et fils inc-Électrobac","47.0286158","-70.9154713","  ","G0A 3C0"
"Écocentre Ville de Beaupré","47.041627","-70.8881597"," 418-827-8901 ","G0A 1E0"
"Écocentre de Neuville","46.7349879","-71.6785214","  ","G0A 2R0"
"Technipc Informatique","46.7522588","-71.6948285","  ","G3H 3A3"
"Écocentre Berthier-sur-Mer","46.9225255","-70.7281181"," 418-259-7343 ","G0R 1E0"
"Écocentre Saint-François-de-la-Rivière-du-Sud","46.9022026","-70.6925392"," 418-259-7228 ","G0R 3A0"
"Écocentre régional de la Nouvelle-Beauce - Sainte-Marie","46.4675311","-71.044672"," 418-389-0594 ","G6E 3E9"
"Écocentre St-Flavien","46.5510172","-71.5916012"," 418-728-5554 ","G0S 2M0"
"Normand Nadeau TV","46.4513402","-71.0327749"," 418-387-2462 ","G6E 1M1"
"Recyc Lav","46.5387127","-71.6083994"," 418-881-0084 ","G0S 1N0"
"Solutions Informatiques G.A. Inc.","46.4442503","-71.0250407"," 418-386-3757 ","G6E 1M1"
"Écocentre de Saint-Ferréol-les-Neiges","47.1294839","-70.8427478"," 418-520-1807 ","G0A 3R0"
"Écocentre Saint-Patrice-de-Beaurivage","46.4072459","-71.2421429"," 418-926-3407 ","G0S 1B0"
"Garage municipal Saint-Pierre-de-la-Rivière-du-Sud","46.9187026","-70.6317138"," 418-248-8277 ","G0R 4B0"
"Écocentre Saint-Raymond","46.876915","-71.809902","  ","G3L 4G2"
"Provigo Alimentation Plamondon inc.-Électrobac","46.8891366","-71.8329933","  ","G3L 5B6"
"Hôpital Hôtel-Dieu de Montmagny","46.976367","-70.5970718"," 418-248-0630 ","G5V 3R8"
"Écocentre Saint-Tite-des-Caps","47.1596853","-70.7591119","  ","G0A 4J0"
"Centre Hi-Fi  Microplus Côte-Sud","46.9785435","-70.5734611"," 418-248-0074 ","G5V 3A6"
"Stéréo Plus - Montmagny","46.9810923","-70.5646393"," 418-248-1071 ","G5V 3A1"
"Écocentre de Montmagny et Isle-aux-Grues","46.9810923","-70.5646393"," 418-248-3361 ","G5V 3A1"
"Monburo.ca Montmagny","46.9797307","-70.5604139"," 418-248-4949 ","G5V 1J6"
"Alcoa Deschambeault-Électrobac","46.6924426","-71.9430454","  ","G0A 1S0"
"Ressourcerie Bellechasse","46.4687178","-70.6322294"," 418-642-5627 ","G0R 4L0"
"Bureau municipal Sainte-Euphémie-sur-Rivière-du-Sud","46.7759805","-70.4366757"," 418-469-3427 ","G0R 2Z0"
"Écocentre régional de la Nouvelle-Beauce - Frampton","46.371097","-70.7666098"," 418-397-5402 ","G0R 1M0"
"Micro-écocentre de Deschambault-Grondine","46.6581491","-71.9717029"," 418-876-2714 #209 ","G0A 1S0"
"Écocentre St-Alban","46.7767363","-72.0047627","  ","G0A 3B0"
"Écocentre Cap-Saint-Ignace","47.031363","-70.4405037"," 418-246-5631 ","G0R 1H0"
"Écocentre Saint-Paul-de-Montminy","46.728805","-70.362228"," 418-469-3120 ","G0R 3Y0"
"La Ressourcerie de Portneuf","46.6788914","-72.043543"," 418-268-8574 ","G0A 4B0"
"Écocentre Notre-Dame-du-Rosaire","46.8319022","-70.3431873"," 418-469-2802 ","G0R 2H0"
"Écocentre Sainte-Françoise","46.4554471","-71.9709862"," 819-287-5755 ","G0S 2N0"
"Écocentre Fortierville","46.4864288","-72.0320011"," 819-692-7297 ","G0S 1J0"
"Écocentre Matrec (Beaucevile)","46.2264106","-70.7861221","  ","G5X 2S8"
"Garage municipal de L'Islet","47.0932562","-70.3353115"," 418-598-3076 ","G0R 1X0"
"Écocentre Parisville","46.5085761","-72.0618559"," 819-292-2222 ","G0S 1X0"
"Déchetterie Saint-Magloire","46.5782641","-70.2968895"," 418-257-4421 ","G0R 3M0"
"Bureau municipal Deschaillons","46.5486372","-72.130331"," 819-292-2085 ","G0S 1G0"
"Écocentre Deschaillons","46.5479517","-72.1318091"," 418-926-3407 ","G0S 1G0"
"Écocentre Sainte-Apolline-de-Patton","46.8061184","-70.1968154"," 418-469-3031 ","G0R 2P0"
"Garage municipal de Saint-Victor","46.1433492","-70.9105164","  ","G0M 2B0"
"Écocentre Robertsonville","46.1113821","-71.2850941"," 418-335-2981 ","G6G 4G2"
"Bureau municipal de Manseau","46.3662803","-72.0032957"," 819-356-2450 ","G0X 1V0"
"ORAPÉ","46.2215927","-71.7682357"," 819-362-0001 ","G6L 2V1"
"Électrocentre (2000)","46.2181686","-71.7637034"," 819-362-2456 ","G6L 3J1"
"Microzone P.L.","46.2196214","-71.7714201"," 819-621-1010 ","G6L 1R9"
"Écocentre Saint-Fabien-de-Panet","46.7923538","-70.1714035"," 418-249-4471 ","G0R 2J0"
"Écocentre Saint-Ubalde","46.7460536","-72.2505767","  ","G0A 4L0"
"Écocentre de Thetford","46.0967343","-71.3002791"," 418-334-4687 ","G6G 7M7"
"CYBER 3d","46.095626","-71.326945"," 418-335-4055 #113 ","G6G 7X9"
"Écocentre Sainte-Sophie-de-Lévrard","46.4332226","-72.1080726"," 819-288-5804 ","G0X 3C0"
"Municipalité de Sainte-Anne-de-la-Pérade","46.5688","-72.211101"," 418-325-2841 ","G0X 2J0"
"Bureau municipal Sainte-Cécile-de-Lévrard","46.4679964","-72.1588718"," 819-263-2104 ","G0X 2M0"
"Déchetterie Saint-Camille-de-Lellis","46.5029435","-70.2283979"," 418-595-2233 ","G0R 2S0"
"Écocentre Saint-Pierre-les-Becquets","46.508771","-72.198334"," 819-263-2622 ","G0X 2Z0"
"Écocentre Baie-St-Paul","47.437883","-70.6022451"," 418-435-2639 ","G3Z 3A9"
"Écocentre Notre-Dame-de-Montauban","46.8773891","-72.3082701"," 418-802-8370 ","G0X 1W0"
"Garage municipal de Saint-Jean-Port-Joli","47.2153806","-70.2694167"," 418-598-3084 ","GOR 3G0"
"Carrefour Saint-Georges - Cominar-Électrobac","46.1338968","-70.6988586","  ","G5Y 5L6"
"Bureau en Gros - St-Georges","46.1312231","-70.6973626"," 418-222-5025 ","G5Y 5L6"
"Système Électronique Larivière","46.1323405","-70.6940716"," 418-228-2676 ","G5Y 3L1"
"Ameublements Tanguay","46.130579","-70.6947002"," 418-226-4411 ","G5Y 5H5"
"IGA Extra St-Georges de Beauce-Électrobac","46.1300842","-70.695594","  ","G5Y 5E2"
"Électronique JFB","46.060276","-70.9524189","  ","G0M 1R0"
"Beauce Informatek","46.0590024","-70.9547043"," 418-484-2470 ","G0M 1R0"
"Visionic Informatique","46.1271956","-70.6812259"," 418-227-4302 ","G5Y 8K1"
"Écocentre Saint-Prosper","46.2128391","-70.4790446"," 418-594-8135 ","G0M 1Y0"
"Bureautique Guy Drouin","46.1148584","-70.6593008"," 418-228-2013 ","G5Y 1P6"
"Écocentre Lac-aux-Sables","46.8425803","-72.3792179"," 819-373-3130 ","G0X 1M0"
"Écocentre Saint-Just-de-Bretenières","46.5669449","-70.094257"," 418-244-3637 ","G0H 3H0"
"Écocentre Sainte-Lucie-de-Beauregard","46.7383049","-70.0220329"," 418-223-3122 ","G0R 3L0"
"Écocentre Isle-aux-Coudres","47.4150601","-70.3787954"," 418-435-2639 ","G0A 3J0"
"Garage municipal Sainte-Geneviève-de-Batiscan","46.532402","-72.338919"," 418-362-2078 ","G0X 2R0"
"Écocentre Sainte-Marie-de-Blandford","46.3248324","-72.1778347"," 819-283-2127 ","G0X 2W0"
"Écocentre Lac-Frontière","46.6959161","-70.0030142"," 418-245-3553 ","G0R 1T0"
"Papeterie du Sagittaire 2003","46.406141","-72.2672062"," 819-298-6033 ","G9H 3T1"
"Écocentre de Champlain","46.4777011","-72.3247356"," 819-373-3130 ","G0X 1C0"
"Écocentre Saint-Adelphe","46.7259687","-72.4298566"," 819-373-3130 ","G0X 2G0"
"Régie Intermunicipale du comté de Beauce-Sud","46.0937516","-70.5623488"," 418-685-3952 ","G0M 1J0"
"Écocentre St-Urbain","47.5341389","-70.5216265"," 418-435-2639 ","G0A 4K0"
"Écocentre Saint-Roch-des-Aulnaies","47.3057906","-70.1683332"," 418-354-2892 ","G0R 3Z0"
"Services PIPC","45.9616514","-70.9366095"," 418-459-3779 ","G0M 1G0"
"Claude Fortier Radio-TV","45.9613339","-70.9344068"," 418-459-6764 ","G0M 1G0"
"Ressourcerie Beauce Sartigan","45.9569151","-70.9346076"," 418-459-3981 ","G0M 1G0"
"Écocentre Sainte-Thècle","46.783191","-72.5031794"," 819-373-3130 ","G0X 3G0"
"Rhesus","46.0811457","-71.9544154"," 819-758-2220 ","G6T 1S7"
"Bureau en Gros - Victoriaville","46.0604277","-71.9270398"," 819-357-4484 ","G6S 1C1"
"Garage municipal Saint-Narcisse","46.5616662","-72.4759573"," 418-328-8645 ","G0X 2Y0"
"Écocentre de Lambton","45.9062086","-71.133984"," 418-486-7438 ","G0M 1H0"
"Écocentre Lambton","45.9062086","-71.133984"," 819-582-9873 ","G0M 1H0"
"Buropro Citation - Victoriaville","46.0579277","-71.941898"," 819-752-7777 ","G6P 7H4"
"Metro Victoriaville-Électrobac","46.0553506","-71.9421134","  ","G6P 7H4"
"Garage municipal de Disraeli","45.9033697","-71.3579729"," 418-449-2771 ","G0N 1E0"
"Écocentre Disraeli","45.8937136","-71.3631049"," 418-449-4299 ","G0N 1E0"
"Microgest Informatique","46.73283","-72.5673298"," 418-365-3839 ","G0X 3H0"
"Écocentre l'Islet-Sud","47.0228704","-69.8706972"," 418-359-2966 ","G0R 3Z0"
"Écocentre Victoriaville","46.0516834","-72.0006895"," 819-357-8666 ","G6P 9J7"
"Écocentre Aston-Jonction","46.169931","-72.2286906"," 819-226-3459 ","G0Z 1A0"
"Écocentre Bécancour","46.3486391","-72.4363749"," 819-294-6500 ","G9H 1A1"
"Metro Plus - Alimentation Lebel inc.-Électrobac","47.3644264","-70.0375125","  ","G0R 1Z0"
"Écocentre de La Pocatière","47.3648759","-70.0336736"," 418-856-2628 ","G0L 3L0"
"Écocentre Saint-Tite","46.666217","-72.624243"," 418-365-6294 ","G0X 3H0"
"Meubles Jacob","46.666217","-72.624243"," 418-365-3130 ","G0X 3H0"
"Hôtel de ville de Saint-Pamphile","46.960616","-69.7782716"," 418-356-5501 ","G0R 3X0"
"Électronique Pelletier TV","47.3799233","-70.0141805","  ","G0R 1Z0"
"Municipalité de Saint-Georges-de-Windsor","46.0144106","-72.0614461","  ","J0A 1J0"
"Écocentre Trois-Rivières, secteur Est","46.4058141","-72.5313573"," 819-373-3130 ","G8V 1W1"
"Dépôt Abénakis Wôlinak","46.3037405","-72.4600598","  ","G0X 1B0"
"Écocentre Sainte-Eulalie","46.1142493","-72.2526074"," 819-225-4345 ","G0Z 1G0"
"Écocentre Saint-Sylvère","46.1661522","-72.3236181"," 819-285-2075 ","G0Z 1H0"
"Centre communautaire de Saint-Wenceslas","46.1644379","-72.325974"," 819-224-7784 ","G0Z 1J0"
"Bureau Municipal Saint-Albert","46.0030877","-72.0878624"," 819-353-3300 ","J0A 1E0"
"Écocentre Saint Samuel","46.069424","-72.204526"," 819-353-1242 ","G0Z 1G0"
"Technic S.M.","45.9484328","-71.986496"," 819-358-2232 ","J0A 1M0"
"Bureau en Gros - Cap-de-la-Madeleine","46.3773198","-72.5510473"," 819-371-4848 ","G8T 9P5"
"Martel Express (Trois-Rivières) Ltée","46.3423871","-72.5398941"," 819-378-2747 ","G9A 5R6"
"Centre de Tri Warwick","45.9316667","-71.9941389"," 819-433-3966 ","J0A 1M0"
"Écocentre de Grandes-Piles","46.6853485","-72.7133014"," 819-373-3130 ","G0X 1H0"
"TechniDom","46.2728518","-72.5071461"," 819-840-3755 ","G9H 1L4"
"Garage municipal de Notre-Dame-du-Mont-Carmel","46.4875883","-72.6565368","  ","G0X 3J0"
"Coopsco Trois-Rivières","46.347309","-72.577589"," 819-371-1004 ","G9A 5H7"
"IGA extra Marché Paquette-Électrobac","46.355143","-72.584572","  ","G8Y 1V9"
"Université du Québec à Trois-Rivières (UQTR)-Électrobac","46.346911","-72.579728","  ","G9A 5H7"
"Best Buy - Carrefour Trois-Rivières Ouest","46.3265425","-72.5648475"," 819-379-6161 ","G9A 4N2"
"Bureau en Gros - Trois-Rivières","46.3287577","-72.5678725"," 819-370-8679 ","G9A 6K9"
"Les Rivières - Cominar-Électrobac","46.3563635","-72.5894358","  ","G8Y 1W2"
"Cliptel 2.0","46.2948769","-72.5444322"," 819-377-3244 ","G9H 1X6"
"Stéréo Plus - Trois-Rivières","46.319186","-72.5679721"," 819-374-6323 ","G9A 4N9"
"Municipalité de Saint-Adrien","45.8174307","-71.7246842","  ","J0A 1C0"
"IGA Supermarché Jean XXIII-Électrobac","46.330947","-72.59492","  ","G8Z 4B5"
"Écocentre Saint-Léonard-d'Aston","46.1091366","-72.3775819"," 819-399-2596 ","J0C 1M0"
"Centre Hi-Fi Groupe Sélect","46.5662735","-72.7311691"," 819-539-0808 ","G9N 7X7"
"Écocentre de Trois-Rivières","46.3212283","-72.5993568"," 819-373-3130 ","G9A 5C9"
"Écocentre de Shawinigan","46.5523633","-72.7358743"," 819-373-3130 ","G9N 8N8"
"Bureau en Gros - Shawinigan","46.5638039","-72.740534"," 819-539-4300 ","G9N 7C1"
"Infoteck","46.5618559","-72.7435254"," 819-539-8888 ","G9N 3A6"
"Garage municipal Ste-Clotilde-de-Horton","45.993044","-72.238405"," 819-336-5344 ","J0A 1H0"
"Écocentre de La Malbaie","47.6541672","-70.1762677"," 418-439-3947 #5070 ","G5A 1W8"
"Garage municipal Ham-Sud","45.7523593","-71.6022156"," 819-877-3258 ","J0B 3J0"
"Stéréo Plus - La Malbaie","47.6501923","-70.1511652"," 418-665-2438 ","G5A 1H4"
"Services Info Comm","47.690573","-70.221117"," 418-665-0005 ","G4A 1C7"
"Logesco Informatique - Nicolet","46.2362327","-72.6058799","  ","J3T 1M9"
"Garage municipal Kingsey Falls","45.8560132","-72.062911"," 819-363-3810 ","J0A 1B0"
"Écocentre Saint-Étienne-des-Grés","46.4297976","-72.7484043"," 819-373-3130 ","G0X 2P0"
"COOP Collecte Pro","46.4363131","-72.7550228"," 819-538-3905 ","G0X 2P0"
"Écocentre Nicolet","46.2239127","-72.6083711"," 819-293-4498 ","J3T 1B4"
"Écocentre de Clermont","47.7362331","-70.2343039"," 418-439-3947 #5070 ","G4A 1B1"
"Écocentre Sainte-Perpétue (Signé François Roy)","46.081774","-72.4662911"," 819-336-6746 ","J0C 1R0"
"Uptimum informatique","46.2895808","-72.6726996"," 819-690-6734 ","G9B 7R9"
"Écocentre d'Asbestos","45.7802965","-71.9270799","  ","J1T 4T1"
"Metro Plus Coop D'Asbestos-Électrobac","45.7715073","-71.9288929","  ","J1T 3P6"
"Municipalité de Wotton","45.7334891","-71.8116118","  ","J0A 1N0"
"Écocentre de Saint-Pascal","47.5288266","-69.8268706"," 418-856-2628 ","G0L 3Y0"
"Municipalité de Saint-Camille","45.6818922","-71.7008776","  ","J0A 1G0"
"Écocentre de Danville","45.6949586","-71.9377643","  ","J0A 1A0"
"Centre de transbordement Ville de La Tuque","47.4645754","-72.7403614"," 819-523-6928 ","G9X 3N6"
"Écocentre Saint-Zéphirin-de-Courval","46.0511025","-72.6144913"," 450-564-2188 ","J0G 1V0"
"Ressourcerie du Granit","45.5948107","-70.9145903"," 819-583-6615 ","G6B 1A2"
"Coopérative de solidarité ETC","47.4357882","-72.7778408"," 819-523-5566 ","G9X 1V8"
"Écocentre Baie-du-Fèbvre","46.1378964","-72.7154819"," 450-783-6422 ","J0G 1A0"
"OrdiPLus","47.4409591","-72.7849178"," 819-523-4478 ","G9X 3A8"
"Écocentre Région du Lac-Mégantic","45.5801342","-70.8881"," 819-583-2466 ","G6B 2S3"
"Récupéraction Centre du Québec","45.9171535","-72.5133744"," 819-477-1312 ","J2B 6V4"
"Ressourcerie Transition inc.","45.8839318","-72.4914366"," 819-472-8076 ","J2C 1T9"
"Les Promenades Drummondville - Westcliff-Électrobac","45.8994483","-72.5176509","  ","J2C 6Y7"
"Best Buy - Drummondville","45.9001632","-72.5214878"," 819-472-1817 ","J2C 5N9"
"Microtec Informatique","45.8781228","-72.4884395"," 819-479-7400 ","J2B 1R4"
"Bureau en Gros - Drummondville","45.8934536","-72.5151872"," 819-474-3147 ","J2C 2B6"
"Buropro Citation Drummondville","45.8945587","-72.5203713"," 819-752-7777 ","J2C 5W3"
"Performance Informatique","45.8643463","-72.4754145"," 819-475-6999 ","J2B 2N7"
"Le 9e Bit","45.8881467","-72.5158771"," 819-474-4724 ","J2C 6P7"
"Metro Plus - Alimentation Claude Bisson-Électrobac","45.8647806","-72.4970134","  ","J2B 6X5"
"Écocentre Richmond","45.663824","-72.1257179","  ","J0B 2H0"
"Écocentre Bury","45.517861","-71.5618806"," 819-560-8400 ","J0B 1M0"
"AIE Informatique","46.2556314","-72.945868"," 819-228-2364 ","J5V 1K1"
"Écocentre Louiseville","46.264233","-72.9539293"," 819-373-3130 ","J5V 3C2"
"Garage municipal Pierreville","46.0725003","-72.8100531"," 450-568-2139 ","J0G 1J0"
"Écocentre régional du Val-Saint-François","45.6058263","-72.0872744"," 819-845-2544 ","J0B 2V0"
"Tech-Nic Réseau Conseil","45.4835922","-71.6597746"," 819-481-1041 ","J0B 1R0"
"Écocentre de Saint-Siméon","47.8431869","-69.8815421"," 418-439-3947 #5070 ","G0T 1X0"
"Solutek Informatique","45.4834262","-71.6596493"," 819-832-3649 ","J0B 1R0"
"Garage municipal Maskinongé","46.2305712","-73.0187902","  ","J0K 1N0"
"Écocentre de Saint-Alexandre","47.6826081","-69.6223568"," 418-856-2628 ","G0L 2G0"
"Caserne de pompier Saint-David","45.956204","-72.85326"," 450-789-2288 ","J0G 1L0"
"Centre hospitalier universitaire de Sherbrooke-Électrobac","45.4467373","-71.8684988","  ","J1H 5N4"
"Bureau municipal Saint-Barthélemy","46.1913549","-73.119143"," 450-885-3511 ","J0K 1X0"
"IGA Extra Couture-Électrobac","45.4117866","-71.8398219","  ","J1G 5G8"
"Meubles Réal Levasseur 1955","47.4759872","-69.2603917","  ","G0L 1J0"
"Écocentre Michel-Ledoux","45.3937612","-71.86118","  ","J1G 5B8"
"Écocentre Secteur Pohénégamook","47.460897","-69.224318","  ","G0L 1J0"
"IGA Extra Chapdelaine-Électrobac","45.3938413","-71.8978118","  ","J1H 1Z1"
"Bureau en Gros - Sherbrooke","45.4033234","-71.9571657"," 819-562-1966 ","J1L 2P1"
"Best Buy - Sherbrooke","45.4024013","-71.9594055"," 819-347-3275 ","J1L 2A6"
"Écocentre Rose-Cohen","45.4029646","-71.9684124","  ","J1L 2Y8"
"Meubles Réal Levasseur","47.8233277","-69.5549633"," 418-867-5085 ","G5R 5C6"
"IGA Extra Rivière-du-Loup-Électrobac","47.8250221","-69.5525065","  ","G5R 1M4"
"Bureau en Gros - Rivière-du-Loup","47.8260205","-69.5512672"," 418-867-5959 ","G5R 1M4"
"Electro-5 inc.","45.396429","-71.966407"," 819-823-5355 ","J1L 2S7"
"Centre commercial Rivière-du-Loup - Cominar-Électrobac","47.8245925","-69.5482516","  ","G5R 4C2"
"Électronique Mercier","47.830717","-69.551675"," 418-862-7269 ","G5R 1C8"
"ORDIGENI - Électronique et Informatique","46.03918","-73.098437"," 450-780-0299 ","J3P 3P9"
"Électronique Marcel Guimond","46.0358303","-73.0956322"," 450-746-0300 ","J3P 2J5"
"Gare du Palais-Électrobac","46.817662","-71.2141343","  ","G1K 3X2"
"Université de Sherbrooke - Campus Sherbrooke-Électrobac","45.3795458","-71.9308537","  ","J1K 2R1"
"IGA Extra King Ouest-Électrobac","45.387857","-71.957982","  ","J1L 1P6"
"Québécom Info Plus","45.3760171","-71.9806152"," 819-820-1222 ","J1N 2G6"
"InfoEstrie Senc.","45.2753388","-71.973515"," 819-842-1141 ","J0B 2C0"
"Bureau en Gros - Magog","45.2759208","-72.1323194"," 819-868-4467 ","J1X 5B4"
"Informatique Orford","45.2758369","-72.1331291","  ","J1X 2T5"
"Écocentre de Magog","45.2677506","-72.13899"," 819-843-7106 ","J1X 5Y5"
"Garage municipal du Canton d'orford","45.3076548","-72.1754393"," 819-843-3111 ","J1X 6X9"
"Centre informatique Memphré","45.2668695","-72.1509399"," 819-769-3369 ","J1X 2K2"
"Mégaburo Coaticook","45.1330919","-71.8055962"," 819-849-9482 ","J1A 2B1"
"PC Expert","45.1329012","-71.8031644"," 819-849-1010 ","J1A 2H6"
"Brunelle Électronique 1986","45.1324754","-71.8053","  ","J1A 1P2"
"Ressourcerie des Frontières","45.1281449","-71.8044596"," 819-804-1018 ","J1A 2G2"
"Écocentre RIGDCS","45.097423","-71.8727441"," 819-849-9479 ","J1A 2S4"
"Kreasoft D.veloppement De Solutions Informatiques","45.4863544","-72.3147793"," 450-532-3494 ","J0E 2L0"
"Informatique ASR","45.0072425","-72.1046571"," 819-876-1434 ","J0B 3E2"
"Écocentre Waterloo","45.3558721","-72.5139312"," 450-378-9975 ","J0E 2N0"
"Garage municipal de Roxton Falls","45.5712742","-72.5252918"," 450-548-5790 ","J0H 1E0"
"Centre électronique informatique Knowlton","45.2137475","-72.5304854"," 450-243-0487 ","J0E 1V0"
"Écocentre de Potton","45.0579615","-72.3922922"," 450-292-3313 ","J0E 1X0"
"Écocentre Lac Brome","45.2438503","-72.5823422","  ","J0E 1V0"
"Informatique Bromont","45.3148425","-72.6581884"," 450-919-1678 ","J2L 2N8"
"Écocentre Bromont","45.3082446","-72.669215","  ","J2L 1J5"
"IGA Extra - Marché Gazaille-Électrobac","45.3946177","-72.7043031","  ","J2H 2R6"
